,Type,Rank,Name,Defense,Lvl1 Gem,Lvl2 Gem,Lvl3 Gem,Lvl4 Gem,Fire Res,Water Res,Thunder Res,Ice Res,Dragon Res,Divine Blessing,Ballistics,Mind's Eye,Guard Up,Earplugs,Constitution,Affinity Sliding,Recovery Up,Fire Attack,Fire Resistance,Ice Resistance,Dragon Resistance,Paralysis Resistance,Muck Resistance,Botanist,Bombardier,Carving Pro,Carving Master,Leap of Faith,Master Mounter,Wall Runner,Stamina Thief,Critical Element,Horn Maestro,Recovery Speed,Water Resistance,Thunder Attack,Thunder Resistance,Poison Resistance,Sleep Resistance,Blast Resistance,Blast Attack,Geologist,Item Prolonger,Power Prolonger,Fortify,Hunger Resistance,Diversion,Wirebug Whisperer,Resuscitate,Critical Eye,Critical Draw,Maximum Might,Heroics,Special Ammo Boost,Defense Boost,Flinch Free,Load Shells,Stamina Surge,Guard,Steadiness,Attack Boost,Handicraft,Quick Sheathe,Free Meal,Stun Resistance,Ammo Up,Offensive Guard,Mushroomancer,Water Attack,Rapid Morph,Ice Attack,Protective Polish,Speed Sharpening,Partbreaker,Bludgeoner,Tremor Resistance,Marathon Runner,Artillery,Focus,Poison Attack,Recoil Down,Reload Speed,Paralysis Attack,Evade Window,Dragon Attack,Bubbly Dance,Wide-Range,Blight Resistance,Speed Eating,Slugger,Punishing Draw,Evade Extender,Counterstrike,Windproof,Thunder Alignment,Agitator,Peak Performance,Resentment,Critical Boost,Weakness Exploit,Latent Power,Sleep Attack,Razor Sharp,Spare Shot,Bow Charge Plus,Pierce Up,Spread Up,Rapid Fire Up,Capture Master,Good Luck,Jump Master,Hellfire Cloak,Wind Alignment,Normal/Rapid Up,Teostra Blessing,Master's Touch,Chameleos Blessing,Kushala Blessing,Stormsoul,Dragonheart,Bladescale Hone,Quick Breath,Tune-Up,Redirection,Foray,Coalescence,Blood Rite,Grinder (S),Spiribird's Call,Charge Master,Furious,Dereliction,Bloodlust,Mail of Hellfire,Guts,Status Trigger,Defiance,Sneak Attack,Adrenaline Rush,Buildup Boost,Burst,Element Exploit,Embolden,Intrepid Heart,Wall-Runner (Boost),Powder Mantle,Wind Mantle,Strife,Berserk,Dragon Conversion,Frostcraft,Shock Absorber,Frenzied Bloodlust,Heaven-Sent,Inspiration,Blood Awakening
22,2,master,Anjanath Vambraces X,98,1,0,0,0,3,-3,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0
23,3,master,Anjanath Coil X,98,2,0,0,1,3,-3,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0
24,4,master,Anjanath Greaves X,98,0,0,1,0,3,-3,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0
25,0,master,Arc Helm / Storge Helm,120,0,0,1,0,-2,2,1,2,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0
26,1,master,Arc Mail / Storge Mail,120,0,1,0,0,-2,2,1,2,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0
27,2,master,Arc Vambraces / Storge Vambraces,120,0,0,0,1,-2,2,1,2,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0
28,3,master,Arc Coil / Storge Coil,120,0,0,0,1,-2,2,1,2,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0
29,4,master,Arc Greaves / Storge Greaves,120,0,1,1,0,-2,2,1,2,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0
30,0,master,Archfiend Armor Cerato,126,0,1,0,1,0,3,-2,3,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0
31,1,master,Archfiend Armor Baulo,126,0,1,1,0,0,3,-2,3,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0
32,2,master,Archfiend Armor Epine,126,0,0,0,1,0,3,-2,3,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0
